task-end-GNG , 3498.53670578
task-begin-MTS-training , 3527.74025945
task-end-MTS-training , 3564.97494049
task-begin-MTS , 3564.97494049
trial-begin , 3564.97494049
stimulus-shown , 3565.90807554
stimulus-match-left , 3573.91408186
response-was-correct , 3575.00008186
trial-end , 3575.12108186
trial-begin , 3575.12208186
stimulus-shown , 3576.37219777
stimulus-match-left , 3584.3783127
response-was-correct , 3586.02334118
trial-end , 3586.13634118
trial-begin-malingering , 3586.13634118
stimulus-shown , 3587.38134118
stimulus-match-left , 3595.38431148
response-was-correct , 3596.72044343
trial-end , 3596.79344343
trial-begin , 3596.79344343
stimulus-shown , 3598.02952548
stimulus-match-right , 3606.03458829
response-was-correct , 3606.90358829
trial-end , 3606.98958829
trial-begin , 3606.98958829
stimulus-shown , 3608.23535281
stimulus-match-right , 3616.24286329
response-was-correct , 3617.05686329
trial-end , 3617.24886329
trial-begin , 3617.24886329
stimulus-shown , 3618.24986528
stimulus-match-left , 3626.25300292
response-was-correct , 3627.36000292
trial-end , 3627.43900292
trial-begin , 3627.43900292
stimulus-shown , 3628.46204223
stimulus-match-right , 3636.46926
response-was-incorrect , 3637.53426
trial-end , 3637.62726
trial-begin , 3637.62726
stimulus-shown , 3638.51621435
stimulus-match-left , 3646.52232635
response-was-correct , 3648.00332885
trial-end , 3648.07532885
trial-begin , 3648.07532885
stimulus-shown , 3648.89732885
stimulus-match-left , 3656.90241708
response-was-correct , 3657.93965383
trial-end , 3658.08165383
trial-begin-malingering , 3658.08165383
stimulus-shown , 3659.18665383
stimulus-match-right , 3667.19266186
response-was-correct , 3668.17678192
trial-end , 3668.24878192
trial-begin , 3668.24878192
stimulus-shown , 3669.03578192
stimulus-match-right , 3677.04278081
response-was-correct , 3678.08771635
trial-end , 3678.13071635
trial-begin , 3678.13071635
stimulus-shown , 3679.10171635
stimulus-match-left , 3687.10298721
response-was-correct , 3687.73368313
trial-end , 3687.78968313
trial-begin , 3687.78968313
stimulus-shown , 3689.08568313
stimulus-match-left , 3697.09317077
response-was-correct , 3697.76527943
trial-end , 3697.85927943
trial-begin , 3697.85927943
stimulus-shown , 3698.79227943
stimulus-match-left , 3706.79935079
response-was-correct , 3707.41235079
trial-end , 3707.48435079
trial-begin , 3707.48435079
stimulus-shown , 3708.45724649
stimulus-match-right , 3716.46465515
response-was-correct , 3717.02565515
trial-end , 3717.07665515
trial-begin-malingering , 3717.07665515
stimulus-shown , 3717.9316511
stimulus-match-left , 3725.93581763
response-was-correct , 3726.69381763
trial-end , 3726.79981763
trial-begin , 3726.80081763
stimulus-shown , 3727.81481763
stimulus-match-right , 3735.82091635
response-was-incorrect , 3736.4049639
trial-end , 3736.4839639
trial-begin-malingering , 3736.4839639
stimulus-shown , 3737.3639639
stimulus-match-right , 3745.36899481
response-was-correct , 3745.93623586
trial-end , 3746.05023586
trial-begin , 3746.05023586
stimulus-shown , 3746.96123586
stimulus-match-right , 3754.96727127
response-was-correct , 3755.68527127
trial-end , 3755.74427127
trial-begin-malingering , 3755.74427127
stimulus-shown , 3757.08729738
stimulus-match-left , 3765.09439888
response-was-incorrect , 3765.75739888
trial-end , 3765.78039888
task-end-MTS , 3765.78039888
task-begin-MS , 3795.61677736
trial-begin , 3795.61777736
stimulus-in-set-letter-Z , 3796.51897412
response-was-correct , 3797.95307216
trial-end , 3798.05307216
trial-begin , 3798.05307216
stimulus-not-in-set-letter-P , 3798.95407216
response-was-correct , 3799.73107216
trial-end , 3799.81407216
trial-begin , 3799.81407216
stimulus-in-set-letter-Z , 3800.71509472
response-was-correct , 3801.18909472
trial-end , 3801.27109472
trial-begin , 3801.27109472
stimulus-not-in-set-letter-Q , 3802.17109431
response-was-correct , 3802.83809431
trial-end , 3802.89009431
trial-begin , 3802.89009431
